invoice_no,customer_id,category,quantity,price,invoice_date,shopping_mall,gender,age,payment_method
I138884,C241288,Clothing,5,1500.4,05-08-2022,Kanyon,Female,28.0,Credit Card
I317333,C111565,Shoes,3,1800.51,12-12-2021,Forum Istanbul,Male,21.0,Debit Card
I127801,C266599,Clothing,1,300.08,09-11-2021,Metrocity,Male,20.0,Cash
I173702,C988172,Shoes,5,3000.85,16-05-2021,Metropol AVM,Female,66.0,Credit Card
I337046,C189076,Books,4,60.6,24-10-2021,Kanyon,Female,53.0,Cash
I227836,C657758,Clothing,5,1500.4,24-05-2022,Forum Istanbul,Female,28.0,Credit Card
I121056,C151197,Cosmetics,1,40.66,13-03-2022,Istinye Park,Female,49.0,Cash
I293112,C176086,Clothing,2,600.16,13-01-2021,Mall of Istanbul,Female,32.0,Credit Card
I293455,C159642,Clothing,3,900.24,04-11-2021,Metrocity,Male,69.0,Credit Card
I326945,C283361,Clothing,2,600.16,22-08-2021,Kanyon,Female,60.0,Credit Card
I306368,C240286,Food & Beverage,2,10.46,25-12-2022,Metrocity,Female,36.0,Cash
I139207,C191708,Books,1,15.15,28-10-2022,Emaar Square Mall,Female,29.0,Credit Card
I640508,C225330,Toys,4,143.36,31-07-2022,Metrocity,Female,67.0,Debit Card
I179802,C312861,Clothing,2,600.16,17-11-2022,Cevahir AVM,Male,25.0,Cash
I336189,C555402,Clothing,2,600.16,03-06-2022,Kanyon,Female,67.0,Credit Card
I688768,C362288,Shoes,5,3000.85,07-11-2021,Viaport Outlet,Male,24.0,Credit Card
I294687,C300786,Books,2,30.3,16-01-2021,Metrocity,Male,65.0,Debit Card
I195744,C330667,Food & Beverage,3,15.69,05-01-2022,Zorlu Center,Female,42.0,Credit Card
I993048,C218149,Clothing,2,600.16,26-07-2021,Metropol AVM,Female,46.0,Cash
I992454,C196845,Toys,4,143.36,07-03-2023,Cevahir AVM,Male,24.0,Cash
I183746,C220180,Clothing,1,300.08,15-02-2023,Emaar Square Mall,Male,23.0,Credit Card
I412481,C125696,Food & Beverage,1,5.23,01-05-2021,Cevahir AVM,Female,27.0,Cash
I823067,C322947,Clothing,2,600.16,18-06-2022,Cevahir AVM,Male,52.0,Credit Card
I252275,C313348,Technology,5,5250.0,26-10-2021,Kanyon,Male,44.0,Cash
I174250,C204553,Books,5,75.75,16-12-2022,Metrocity,Female,42.0,Cash
I195396,C285161,Toys,2,71.68,16-05-2021,Istinye Park,Male,51.0,Debit Card
I196704,C289625,Cosmetics,5,203.3,20-04-2022,Mall of Istanbul,Female,25.0,Credit Card
I217053,C192344,Shoes,4,2400.68,10-10-2022,Emaar Square Mall,Male,50.0,Cash
I655874,C447138,Shoes,3,1800.51,23-08-2022,Cevahir AVM,Female,65.0,Cash
I209744,C251229,Cosmetics,3,121.98,29-04-2021,Istinye Park,Male,29.0,Credit Card
I161949,C159164,Toys,3,107.52,04-07-2022,Mall of Istanbul,Female,66.0,Debit Card
I331891,C501658,Clothing,1,300.08,21-11-2021,Emaar Square Mall,Male,23.0,Credit Card
I768348,C176727,Shoes,3,1800.51,23-02-2022,Kanyon,Female,32.0,Credit Card
I109053,C232624,Clothing,4,1200.32,11-07-2021,Metrocity,Male,51.0,Debit Card
I167211,C164092,Shoes,4,2400.68,30-08-2022,Zorlu Center,Female,66.0,Credit Card
I339732,C276887,Food & Beverage,1,5.23,04-01-2023,Emaar Square Mall,Male,68.0,Credit Card
I147062,C245456,Clothing,5,1500.4,21-06-2022,Kanyon,Male,43.0,Credit Card
I187519,C450287,Clothing,2,600.16,08-07-2022,Metrocity,Female,59.0,Credit Card
I106674,C204279,Clothing,2,600.16,27-02-2022,Kanyon,Male,54.0,Cash
I473411,C452806,Clothing,1,300.08,19-12-2022,Metropol AVM,Male,24.0,Cash
I246550,C716788,Food & Beverage,3,15.69,10-09-2021,Zorlu Center,Female,49.0,Cash
I138674,C155059,Cosmetics,2,81.32,14-02-2022,Metropol AVM,Male,67.0,Credit Card
I752693,C306662,Cosmetics,3,121.98,28-04-2022,Metrocity,Female,48.0,Cash
I826174,C607615,Shoes,4,2400.68,20-06-2022,Metrocity,Female,40.0,Cash
